# Airfoil: JOUK_t12_f2
# Settings: StallFwd=15.3 StallBwd=9.7 Mach=0.10 Re=2303000

Alpha (deg), Cl, Cd, Cm, L/D, Stall_Sigma
-157.50, 0.739249, 0.307592, 0.200177, 2.40, 0.00
-157.00, 0.753002, 0.320663, 0.204613, 2.35, 0.00
-156.50, 0.766433, 0.333955, 0.209012, 2.30, 0.00
-156.00, 0.779532, 0.347466, 0.213370, 2.24, 0.00
-155.50, 0.792289, 0.361190, 0.217688, 2.19, 0.00
-155.00, 0.804694, 0.375124, 0.221963, 2.15, 0.00
-154.50, 0.816740, 0.389264, 0.226194, 2.10, 0.00
-154.00, 0.828418, 0.403605, 0.230381, 2.05, 0.00
-153.50, 0.839721, 0.418142, 0.234522, 2.01, 0.00
-153.00, 0.850642, 0.432872, 0.238616, 1.97, 0.00
-152.50, 0.861176, 0.447791, 0.242664, 1.92, 0.00
-152.00, 0.871317, 0.462892, 0.246665, 1.88, 0.00
-151.50, 0.881060, 0.478173, 0.250619, 1.84, 0.00
-151.00, 0.890403, 0.493627, 0.254525, 1.80, 0.00
-150.50, 0.899348, 0.509251, 0.258385, 1.77, 0.00
-150.00, 0.907925, 0.525040, 0.262207, 1.73, 0.00
-149.50, 0.916176, 0.540989, 0.266000, 1.69, 0.00
-149.00, 0.924116, 0.557092, 0.269767, 1.66, 0.00
-148.50, 0.931745, 0.573346, 0.273510, 1.63, 0.00
-148.00, 0.939062, 0.589745, 0.277228, 1.59, 0.00
-147.50, 0.946066, 0.606285, 0.280921, 1.56, 0.00
-147.00, 0.952755, 0.622959, 0.284590, 1.53, 0.00
-146.50, 0.959128, 0.639764, 0.288234, 1.50, 0.00
-146.00, 0.965185, 0.656693, 0.291854, 1.47, 0.00
-145.50, 0.970924, 0.673742, 0.295450, 1.44, 0.00
-145.00, 0.976346, 0.690906, 0.299022, 1.41, 0.00
-144.50, 0.981449, 0.708179, 0.302570, 1.39, 0.00
-144.00, 0.986233, 0.725557, 0.306094, 1.36, 0.00
-143.50, 0.990699, 0.743033, 0.309595, 1.33, 0.00
-143.00, 0.994845, 0.760603, 0.313072, 1.31, 0.00
-142.50, 0.998673, 0.778261, 0.316526, 1.28, 0.00
-142.00, 1.002181, 0.796001, 0.319956, 1.26, 0.00
-141.50, 1.005371, 0.813819, 0.323364, 1.24, 0.00
-141.00, 1.008243, 0.831709, 0.326748, 1.21, 0.00
-140.50, 1.010797, 0.849666, 0.330110, 1.19, 0.00
-140.00, 1.013034, 0.867683, 0.333448, 1.17, 0.00
-139.50, 1.014954, 0.885756, 0.336765, 1.15, 0.00
-139.00, 1.016559, 0.903879, 0.340059, 1.12, 0.00
-138.50, 1.017849, 0.922047, 0.343330, 1.10, 0.00
-138.00, 1.018826, 0.940253, 0.346580, 1.08, 0.00
-137.50, 1.019490, 0.958493, 0.349807, 1.06, 0.00
-137.00, 1.019843, 0.976761, 0.353012, 1.04, 0.00
-136.50, 1.019886, 0.995051, 0.356195, 1.02, 0.00
-136.00, 1.019621, 1.013358, 0.359356, 1.01, 0.00
-135.50, 1.019048, 1.031676, 0.362495, 0.99, 0.00
-135.00, 1.018171, 1.050000, 0.365612, 0.97, 0.00
-134.50, 1.016989, 1.068324, 0.368708, 0.95, 0.00
-134.00, 1.015506, 1.086642, 0.371782, 0.93, 0.00
-133.50, 1.013722, 1.104949, 0.374834, 0.92, 0.00
-133.00, 1.011640, 1.123239, 0.377864, 0.90, 0.00
-132.50, 1.009262, 1.141507, 0.380872, 0.88, 0.00
-132.00, 1.006590, 1.159747, 0.383858, 0.87, 0.00
-131.50, 1.003626, 1.177953, 0.386823, 0.85, 0.00
-131.00, 1.000372, 1.196121, 0.389765, 0.84, 0.00
-130.50, 0.996831, 1.214244, 0.392685, 0.82, 0.00
-130.00, 0.993004, 1.232317, 0.395584, 0.81, 0.00
-129.50, 0.988895, 1.250334, 0.398459, 0.79, 0.00
-129.00, 0.984505, 1.268291, 0.401313, 0.78, 0.00
-128.50, 0.979838, 1.286181, 0.404143, 0.76, 0.00
-128.00, 0.974895, 1.303999, 0.406951, 0.75, 0.00
-127.50, 0.969680, 1.321739, 0.409736, 0.73, 0.00
-127.00, 0.964194, 1.339397, 0.412498, 0.72, 0.00
-126.50, 0.958442, 1.356967, 0.415236, 0.71, 0.00
-126.00, 0.952424, 1.374443, 0.417951, 0.69, 0.00
-125.50, 0.946145, 1.391821, 0.420642, 0.68, 0.00
-125.00, 0.939606, 1.409094, 0.423308, 0.67, 0.00
-124.50, 0.932812, 1.426258, 0.425950, 0.65, 0.00
-124.00, 0.925764, 1.443307, 0.428568, 0.64, 0.00
-123.50, 0.918465, 1.460236, 0.431160, 0.63, 0.00
-123.00, 0.910919, 1.477041, 0.433727, 0.62, 0.00
-122.50, 0.903128, 1.493715, 0.436268, 0.60, 0.00
-122.00, 0.895096, 1.510255, 0.438783, 0.59, 0.00
-121.50, 0.886825, 1.526654, 0.441271, 0.58, 0.00
-121.00, 0.878318, 1.542908, 0.443733, 0.57, 0.00
-120.50, 0.869578, 1.559011, 0.446167, 0.56, 0.00
-120.00, 0.860608, 1.574960, 0.448574, 0.55, 0.00
-119.50, 0.851412, 1.590749, 0.450952, 0.54, 0.00
-119.00, 0.841992, 1.606373, 0.453301, 0.52, 0.00
-118.50, 0.832352, 1.621827, 0.455622, 0.51, 0.00
-118.00, 0.822493, 1.637108, 0.457913, 0.50, 0.00
-117.50, 0.812420, 1.652209, 0.460174, 0.49, 0.00
-117.00, 0.802136, 1.667127, 0.462405, 0.48, 0.00
-116.50, 0.791643, 1.681858, 0.464604, 0.47, 0.00
-116.00, 0.780944, 1.696395, 0.466772, 0.46, 0.00
-115.50, 0.770043, 1.710736, 0.468908, 0.45, 0.00
-115.00, 0.758942, 1.724876, 0.471011, 0.44, 0.00
-114.50, 0.747645, 1.738809, 0.473082, 0.43, 0.00
-114.00, 0.736153, 1.752534, 0.475118, 0.42, 0.00
-113.50, 0.724472, 1.766044, 0.477121, 0.41, 0.00
-113.00, 0.712602, 1.779336, 0.479089, 0.40, 0.00
-112.50, 0.700548, 1.792406, 0.481022, 0.39, 0.00
-112.00, 0.688312, 1.805249, 0.482920, 0.38, 0.00
-111.50, 0.675897, 1.817863, 0.484781, 0.37, 0.00
-111.00, 0.663306, 1.830243, 0.486605, 0.36, 0.00
-110.50, 0.650545, 1.842385, 0.488392, 0.35, 0.00
-110.00, 0.637641, 1.854285, 0.490144, 0.34, 0.00
-109.50, 0.624630, 1.865941, 0.491863, 0.33, 0.00
-109.00, 0.611525, 1.877348, 0.493548, 0.33, 0.00
-108.50, 0.598321, 1.888503, 0.495199, 0.32, 0.00
-108.00, 0.585011, 1.899403, 0.496813, 0.31, 0.00
-107.50, 0.571592, 1.910044, 0.498389, 0.30, 0.00
-107.00, 0.558058, 1.920423, 0.499925, 0.29, 0.00
-106.50, 0.544404, 1.930537, 0.501422, 0.28, 0.00
-106.00, 0.530627, 1.940383, 0.502877, 0.27, 0.00
-105.50, 0.516722, 1.949957, 0.504289, 0.26, 0.00
-105.00, 0.502684, 1.959257, 0.505658, 0.26, 0.00
-104.50, 0.488509, 1.968281, 0.506983, 0.25, 0.00
-104.00, 0.474195, 1.977024, 0.508262, 0.24, 0.00
-103.50, 0.459737, 1.985486, 0.509495, 0.23, 0.00
-103.00, 0.445131, 1.993662, 0.510682, 0.22, 0.00
-102.50, 0.430376, 2.001551, 0.511822, 0.22, 0.00
-102.00, 0.415468, 2.009150, 0.512914, 0.21, 0.00
-101.50, 0.400404, 2.016457, 0.513959, 0.20, 0.00
-101.00, 0.385183, 2.023469, 0.514955, 0.19, 0.00
-100.50, 0.369802, 2.030185, 0.515903, 0.18, 0.00
-100.00, 0.354260, 2.036602, 0.516803, 0.17, 0.00
-99.50, 0.338555, 2.042719, 0.517654, 0.17, 0.00
-99.00, 0.322686, 2.048533, 0.518456, 0.16, 0.00
-98.50, 0.306652, 2.054044, 0.519210, 0.15, 0.00
-98.00, 0.290454, 2.059248, 0.519916, 0.14, 0.00
-97.50, 0.274090, 2.064145, 0.520574, 0.13, 0.00
-97.00, 0.257560, 2.068733, 0.521184, 0.12, 0.00
-96.50, 0.240867, 2.073011, 0.521747, 0.12, 0.00
-96.00, 0.224010, 2.076977, 0.522262, 0.11, 0.00
-95.50, 0.206990, 2.080630, 0.522732, 0.10, 0.00
-95.00, 0.189809, 2.083969, 0.523155, 0.09, 0.00
-94.50, 0.172470, 2.086994, 0.523532, 0.08, 0.00
-94.00, 0.154973, 2.089702, 0.523865, 0.07, 0.00
-93.50, 0.137323, 2.092094, 0.524153, 0.07, 0.00
-93.00, 0.119522, 2.094168, 0.524398, 0.06, 0.00
-92.50, 0.101573, 2.095925, 0.524600, 0.05, 0.00
-92.00, 0.083480, 2.097363, 0.524759, 0.04, 0.00
-91.50, 0.065247, 2.098481, 0.524877, 0.03, 0.00
-91.00, 0.046879, 2.099280, 0.524955, 0.02, 0.00
-90.50, 0.028380, 2.099760, 0.524992, 0.01, 0.00
-90.00, 0.009785, 2.099920, 0.524990, 0.00, 0.00
-89.50, -0.008842, 2.099760, 0.524950, -0.00, 0.00
-89.00, -0.027500, 2.099280, 0.524871, -0.01, 0.00
-88.50, -0.046252, 2.098481, 0.524754, -0.02, 0.00
-88.00, -0.065125, 2.097363, 0.524600, -0.03, 0.00
-87.50, -0.084111, 2.095925, 0.524411, -0.04, 0.00
-87.00, -0.103203, 2.094168, 0.524186, -0.05, 0.00
-86.50, -0.122392, 2.092094, 0.523927, -0.06, 0.00
-86.00, -0.141671, 2.089702, 0.523635, -0.07, 0.00
-85.50, -0.161030, 2.086994, 0.523310, -0.08, 0.00
-85.00, -0.180461, 2.083969, 0.522953, -0.09, 0.00
-84.50, -0.199953, 2.080630, 0.522566, -0.10, 0.00
-84.00, -0.219498, 2.076977, 0.522147, -0.11, 0.00
-83.50, -0.239084, 2.073011, 0.521699, -0.12, 0.00
-83.00, -0.258700, 2.068733, 0.521222, -0.13, 0.00
-82.50, -0.278337, 2.064145, 0.520716, -0.13, 0.00
-82.00, -0.297982, 2.059248, 0.520182, -0.14, 0.00
-81.50, -0.317624, 2.054044, 0.519620, -0.15, 0.00
-81.00, -0.337251, 2.048533, 0.519030, -0.16, 0.00
-80.50, -0.356850, 2.042719, 0.518413, -0.17, 0.00
-80.00, -0.376408, 2.036602, 0.517768, -0.18, 0.00
-79.50, -0.395913, 2.030185, 0.517097, -0.20, 0.00
-79.00, -0.415352, 2.023469, 0.516399, -0.21, 0.00
-78.50, -0.434710, 2.016457, 0.515673, -0.22, 0.00
-78.00, -0.453975, 2.009150, 0.514920, -0.23, 0.00
-77.50, -0.473131, 2.001551, 0.514140, -0.24, 0.00
-77.00, -0.492165, 1.993662, 0.513332, -0.25, 0.00
-76.50, -0.511063, 1.985486, 0.512495, -0.26, 0.00
-76.00, -0.529809, 1.977024, 0.511630, -0.27, 0.00
-75.50, -0.548389, 1.968281, 0.510735, -0.28, 0.00
-75.00, -0.566787, 1.959257, 0.509810, -0.29, 0.00
-74.50, -0.584990, 1.949957, 0.508855, -0.30, 0.00
-74.00, -0.602980, 1.940383, 0.507867, -0.31, 0.00
-73.50, -0.620743, 1.930537, 0.506846, -0.32, 0.00
-73.00, -0.638263, 1.920423, 0.505792, -0.33, 0.00
-72.50, -0.655524, 1.910044, 0.504702, -0.34, 0.00
-72.00, -0.672511, 1.899403, 0.503576, -0.35, 0.00
-71.50, -0.689208, 1.888503, 0.502412, -0.36, 0.00
-71.00, -0.705600, 1.877348, 0.501208, -0.38, 0.00
-70.50, -0.721673, 1.865941, 0.499964, -0.39, 0.00
-70.00, -0.737447, 1.854285, 0.498681, -0.40, 0.00
-69.50, -0.752963, 1.842385, 0.497362, -0.41, 0.00
-69.00, -0.768247, 1.830243, 0.496009, -0.42, 0.00
-68.50, -0.783297, 1.817863, 0.494623, -0.43, 0.00
-68.00, -0.798109, 1.805249, 0.493204, -0.44, 0.00
-67.50, -0.812677, 1.792406, 0.491752, -0.45, 0.00
-67.00, -0.826997, 1.779336, 0.490266, -0.46, 0.00
-66.50, -0.841066, 1.766044, 0.488746, -0.48, 0.00
-66.00, -0.854879, 1.752534, 0.487193, -0.49, 0.00
-65.50, -0.868431, 1.738809, 0.485606, -0.50, 0.00
-65.00, -0.881718, 1.724876, 0.483985, -0.51, 0.00
-64.50, -0.894737, 1.710736, 0.482330, -0.52, 0.00
-64.00, -0.907484, 1.696395, 0.480641, -0.53, 0.00
-63.50, -0.919954, 1.681858, 0.478918, -0.55, 0.00
-63.00, -0.932144, 1.667127, 0.477161, -0.56, 0.00
-62.50, -0.944049, 1.652209, 0.475370, -0.57, 0.00
-62.00, -0.955668, 1.637108, 0.473545, -0.58, 0.00
-61.50, -0.966995, 1.621827, 0.471685, -0.60, 0.00
-61.00, -0.978028, 1.606373, 0.469790, -0.61, 0.00
-60.50, -0.988762, 1.590749, 0.467861, -0.62, 0.00
-60.00, -0.999196, 1.574960, 0.465898, -0.63, 0.00
-59.50, -1.009325, 1.559011, 0.463900, -0.65, 0.00
-59.00, -1.019147, 1.542907, 0.461867, -0.66, 0.00
-58.50, -1.028659, 1.526654, 0.459799, -0.67, 0.00
-58.00, -1.037857, 1.510254, 0.457696, -0.69, 0.00
-57.50, -1.046739, 1.493715, 0.455559, -0.70, 0.00
-57.00, -1.055302, 1.477041, 0.453386, -0.71, 0.00
-56.50, -1.063543, 1.460236, 0.451179, -0.73, 0.00
-56.00, -1.071461, 1.443306, 0.448936, -0.74, 0.00
-55.50, -1.079053, 1.426257, 0.446658, -0.76, 0.00
-55.00, -1.086316, 1.409093, 0.444345, -0.77, 0.00
-54.50, -1.093248, 1.391820, 0.441997, -0.79, 0.00
-54.00, -1.099847, 1.374442, 0.439613, -0.80, 0.00
-53.50, -1.106111, 1.356966, 0.437194, -0.82, 0.00
-53.00, -1.112038, 1.339396, 0.434740, -0.83, 0.00
-52.50, -1.117627, 1.321738, 0.432251, -0.85, 0.00
-52.00, -1.122876, 1.303997, 0.429726, -0.86, 0.00
-51.50, -1.127782, 1.286178, 0.427166, -0.88, 0.00
-51.00, -1.132346, 1.268288, 0.424570, -0.89, 0.00
-50.50, -1.136564, 1.250331, 0.421939, -0.91, 0.00
-50.00, -1.140437, 1.232313, 0.419273, -0.93, 0.00
-49.50, -1.143963, 1.214239, 0.416571, -0.94, 0.00
-49.00, -1.147141, 1.196115, 0.413833, -0.96, 0.00
-48.50, -1.149970, 1.177947, 0.411061, -0.98, 0.00
-48.00, -1.152449, 1.159739, 0.408253, -0.99, 0.00
-47.50, -1.154578, 1.141497, 0.405409, -1.01, 0.00
-47.00, -1.156356, 1.123228, 0.402531, -1.03, 0.00
-46.50, -1.157783, 1.104936, 0.399617, -1.05, 0.00
-46.00, -1.158859, 1.086627, 0.396668, -1.07, 0.00
-45.50, -1.159583, 1.068306, 0.393683, -1.09, 0.00
-45.00, -1.159955, 1.049980, 0.390664, -1.10, 0.00
-44.50, -1.159976, 1.031653, 0.387609, -1.12, 0.00
-44.00, -1.159646, 1.013330, 0.384520, -1.14, 0.00
-43.50, -1.158966, 0.995019, 0.381396, -1.16, 0.00
-43.00, -1.157935, 0.976723, 0.378237, -1.19, 0.00
-42.50, -1.156556, 0.958449, 0.375043, -1.21, 0.00
-42.00, -1.154828, 0.940201, 0.371815, -1.23, 0.00
-41.50, -1.152755, 0.921985, 0.368552, -1.25, 0.00
-41.00, -1.150336, 0.903807, 0.365255, -1.27, 0.00
-40.50, -1.147573, 0.885672, 0.361924, -1.30, 0.00
-40.00, -1.144470, 0.867584, 0.358559, -1.32, 0.00
-39.50, -1.141028, 0.849550, 0.355160, -1.34, 0.00
-39.00, -1.137249, 0.831574, 0.351728, -1.37, 0.00
-38.50, -1.133138, 0.813661, 0.348263, -1.39, 0.00
-38.00, -1.128697, 0.795817, 0.344764, -1.42, 0.00
-37.50, -1.123931, 0.778045, 0.341233, -1.44, 0.00
-37.00, -1.118845, 0.760351, 0.337670, -1.47, 0.00
-36.50, -1.113439, 0.742739, 0.334074, -1.50, 0.00
-36.00, -1.107655, 0.725214, 0.330432, -1.53, 0.00
-35.50, -1.101357, 0.707780, 0.326716, -1.56, 0.00
-35.00, -1.094449, 0.690441, 0.322904, -1.59, 0.00
-34.50, -1.086922, 0.673201, 0.318993, -1.61, 0.00
-34.00, -1.078791, 0.656063, 0.314982, -1.64, 0.00
-33.50, -1.070074, 0.639030, 0.310872, -1.67, 0.00
-33.00, -1.060793, 0.622106, 0.306666, -1.71, 0.00
-32.50, -1.050973, 0.605294, 0.302366, -1.74, 0.00
-32.00, -1.040643, 0.588595, 0.297974, -1.77, 0.00
-31.50, -1.029836, 0.572011, 0.293493, -1.80, 0.00
-31.00, -1.018589, 0.555544, 0.288928, -1.83, 0.00
-30.50, -1.006944, 0.539194, 0.284284, -1.87, 0.00
-30.00, -0.994947, 0.522961, 0.279565, -1.90, 0.00
-29.50, -0.982652, 0.506846, 0.274778, -1.94, 0.00
-29.00, -0.970116, 0.490846, 0.269929, -1.98, 0.01
-28.50, -0.957405, 0.474960, 0.265026, -2.02, 0.01
-28.00, -0.944590, 0.459185, 0.260077, -2.06, 0.01
-27.50, -0.931750, 0.443517, 0.255091, -2.10, 0.01
-27.00, -0.918974, 0.427951, 0.250078, -2.15, 0.01
-26.50, -0.906357, 0.412481, 0.245046, -2.20, 0.01
-26.00, -0.894006, 0.397102, 0.240008, -2.25, 0.02
-25.50, -0.882038, 0.381806, 0.234975, -2.31, 0.02
-25.00, -0.870578, 0.366584, 0.229956, -2.37, 0.02
-24.50, -0.859763, 0.351427, 0.224964, -2.45, 0.03
-24.00, -0.849739, 0.336327, 0.220008, -2.53, 0.03
-23.50, -0.840664, 0.321276, 0.215096, -2.62, 0.04
-23.00, -0.832698, 0.306264, 0.210235, -2.72, 0.05
-22.50, -0.826008, 0.291286, 0.205426, -2.84, 0.06
-22.00, -0.820761, 0.276338, 0.200665, -2.97, 0.07
-21.50, -0.817116, 0.261420, 0.195942, -3.13, 0.08
-21.00, -0.815218, 0.246539, 0.191236, -3.31, 0.09
-20.50, -0.815185, 0.231706, 0.186516, -3.52, 0.11
-20.00, -0.817105, 0.216944, 0.181735, -3.77, 0.13
-19.50, -0.820945, 0.202287, 0.176834, -4.06, 0.15
-19.00, -0.826476, 0.187779, 0.171739, -4.40, 0.17
-18.50, -0.833701, 0.173479, 0.166361, -4.81, 0.20
-18.00, -0.842976, 0.159459, 0.160604, -5.29, 0.23
-17.50, -0.855342, 0.145804, 0.154568, -5.87, 0.26
-17.00, -0.872998, 0.132608, 0.148636, -6.58, 0.30
-16.50, -0.897571, 0.119968, 0.143061, -7.48, 0.34
-16.00, -0.928863, 0.107984, 0.137720, -8.60, 0.38
-15.50, -0.965466, 0.096743, 0.132255, -9.98, 0.42
-15.00, -1.005098, 0.086320, 0.126186, -11.64, 0.47
-14.50, -1.044163, 0.076769, 0.119068, -13.60, 0.51
-14.00, -1.077896, 0.068116, 0.110658, -15.82, 0.55
-13.50, -1.102092, 0.060364, 0.100947, -18.26, 0.60
-13.00, -1.114076, 0.053488, 0.090141, -20.83, 0.64
-12.50, -1.112526, 0.047442, 0.078635, -23.45, 0.68
-12.00, -1.097502, 0.042165, 0.066924, -26.03, 0.72
-11.50, -1.071158, 0.037582, 0.055548, -28.50, 0.75
-11.00, -1.037361, 0.033618, 0.044993, -30.86, 0.78
-10.50, -0.999031, 0.030195, 0.035523, -33.09, 0.81
-10.00, -0.957292, 0.027240, 0.027194, -35.14, 0.84
-9.50, -0.912705, 0.024686, 0.019975, -36.97, 0.86
-9.00, -0.865772, 0.022473, 0.013800, -38.52, 0.88
-8.50, -0.816928, 0.020552, 0.008580, -39.75, 0.90
-8.00, -0.766543, 0.018878, 0.004212, -40.60, 0.91
-7.50, -0.714928, 0.017417, 0.000593, -41.05, 0.93
-7.00, -0.662342, 0.016138, -0.002382, -41.04, 0.94
-6.50, -0.608997, 0.015019, -0.004806, -40.55, 0.95
-6.00, -0.555066, 0.014041, -0.006768, -39.53, 0.96
-5.50, -0.500683, 0.013188, -0.008347, -37.97, 0.96
-5.00, -0.445954, 0.012448, -0.009612, -35.83, 0.97
-4.50, -0.390964, 0.011813, -0.010620, -33.10, 0.97
-4.00, -0.335785, 0.011276, -0.011413, -29.78, 0.98
-3.50, -0.280474, 0.010830, -0.012030, -25.90, 0.98
-3.00, -0.225078, 0.010473, -0.012504, -21.49, 0.98
-2.50, -0.169630, 0.010200, -0.012864, -16.63, 0.99
-2.00, -0.114158, 0.010009, -0.013133, -11.41, 0.99
-1.50, -0.058681, 0.009898, -0.013331, -5.93, 0.99
-1.00, -0.002331, 0.009876, -0.013475, -0.24, 0.99
-0.50, 0.054826, 0.009939, -0.013569, 5.52, 1.00
0.00, 0.110970, 0.010062, -0.013621, 11.03, 1.00
0.50, 0.166169, 0.010249, -0.013667, 16.21, 1.00
1.00, 0.221368, 0.010513, -0.013731, 21.06, 1.00
1.50, 0.276562, 0.010852, -0.013819, 25.48, 1.00
2.00, 0.331745, 0.011268, -0.013939, 29.44, 1.00
2.50, 0.386907, 0.011760, -0.014100, 32.90, 0.99
3.00, 0.442036, 0.012329, -0.014317, 35.85, 0.99
3.50, 0.497113, 0.012974, -0.014606, 38.32, 0.99
4.00, 0.552114, 0.013696, -0.014991, 40.31, 0.99
4.50, 0.607003, 0.014497, -0.015500, 41.87, 0.99
5.00, 0.661731, 0.015377, -0.016174, 43.03, 0.98
5.50, 0.716230, 0.016340, -0.017063, 43.83, 0.98
6.00, 0.770410, 0.017389, -0.018229, 44.31, 0.97
6.50, 0.824150, 0.018530, -0.019745, 44.48, 0.97
7.00, 0.877298, 0.019772, -0.021699, 44.37, 0.96
7.50, 0.929654, 0.021128, -0.024198, 44.00, 0.95
8.00, 0.980966, 0.022614, -0.027371, 43.38, 0.94
8.50, 1.030910, 0.024253, -0.031364, 42.51, 0.93
9.00, 1.079080, 0.026079, -0.036339, 41.38, 0.91
9.50, 1.124965, 0.028134, -0.042465, 39.99, 0.89
10.00, 1.167938, 0.030477, -0.049906, 38.32, 0.87
10.50, 1.207235, 0.033180, -0.058802, 36.38, 0.84
11.00, 1.241945, 0.036334, -0.069239, 34.18, 0.81
11.50, 1.270939, 0.040048, -0.081209, 31.74, 0.78
12.00, 1.290627, 0.044444, -0.094403, 29.04, 0.74
12.50, 1.293779, 0.049652, -0.107979, 26.06, 0.69
13.00, 1.274301, 0.055795, -0.120767, 22.84, 0.64
13.50, 1.231173, 0.062978, -0.131656, 19.55, 0.59
14.00, 1.168046, 0.071271, -0.139876, 16.39, 0.54
14.50, 1.092232, 0.080692, -0.145249, 13.54, 0.48
15.00, 1.013118, 0.091208, -0.148298, 11.11, 0.43
15.50, 0.940097, 0.102728, -0.150046, 9.15, 0.38
16.00, 0.880238, 0.115120, -0.151639, 7.65, 0.33
16.50, 0.836140, 0.128223, -0.153966, 6.52, 0.28
17.00, 0.804851, 0.141870, -0.157092, 5.67, 0.24
17.50, 0.780627, 0.155900, -0.160353, 5.01, 0.20
18.00, 0.760543, 0.170177, -0.163367, 4.47, 0.17
18.50, 0.744790, 0.184587, -0.166247, 4.03, 0.14
19.00, 0.733716, 0.199050, -0.169171, 3.69, 0.12
19.50, 0.726945, 0.213510, -0.172267, 3.40, 0.10
20.00, 0.723670, 0.227939, -0.175606, 3.17, 0.08
20.50, 0.723497, 0.242323, -0.179227, 2.99, 0.06
21.00, 0.726351, 0.256663, -0.183143, 2.83, 0.05
21.50, 0.731908, 0.270971, -0.187347, 2.70, 0.04
22.00, 0.739746, 0.285263, -0.191815, 2.59, 0.03
22.50, 0.749515, 0.299556, -0.196518, 2.50, 0.03
23.00, 0.760891, 0.313873, -0.201422, 2.42, 0.02
23.50, 0.773584, 0.328231, -0.206494, 2.36, 0.02
24.00, 0.787334, 0.342650, -0.211701, 2.30, 0.01
24.50, 0.801910, 0.357146, -0.217012, 2.25, 0.01
25.00, 0.817110, 0.371733, -0.222399, 2.20, 0.01
25.50, 0.832756, 0.386425, -0.227836, 2.16, 0.01
26.00, 0.848694, 0.401231, -0.233302, 2.12, 0.01
26.50, 0.864786, 0.416160, -0.238775, 2.08, 0.00
27.00, 0.880915, 0.431219, -0.244238, 2.04, 0.00
27.50, 0.896974, 0.446412, -0.249674, 2.01, 0.00
28.00, 0.912872, 0.461745, -0.255070, 1.98, 0.00
28.50, 0.928527, 0.477218, -0.260412, 1.95, 0.00
29.00, 0.943867, 0.492834, -0.265690, 1.92, 0.00
29.50, 0.958828, 0.508592, -0.270894, 1.89, 0.00
